C,SETP.WORLD,DVD_DUDETAIL,AEMO,PUBLIC,2025/06/10,12:30:34,001749522634750,MONTHLY_ARCHIVE,001749522634750
I,PARTICIPANT_REGISTRATION,DUDETAIL,7,EFFECTIVEDATE,DUID,VERSIONNO,CONNECTIONPOINTID,VOLTLEVEL,REGISTEREDCAPACITY,AGCCAPABILITY,DISPATCHTYPE,MAXCAPACITY,STARTTYPE,NORMALLYONFLAG,PHYSICALDETAILSFLAG,SPINNINGRESERVEFLAG,AUTHORISEDBY,AUTHORISEDDATE,LASTCHANGED,INTERMITTENTFLAG,SEMISCHEDULE_FLAG,MAXRATEOFCHANGEUP,MAXRATEOFCHANGEDOWN,DISPATCHSUBTYPE,ADG_ID,MINCAPACITY,REGISTEREDMINCAPACITY,MAXRATEOFCHANGEUP_LOAD,MAXRATEOFCHANGEDOWN_LOAD,MAXSTORAGECAPACITY,STORAGEIMPORTEFFICIENCYFACTOR,STORAGEEXPORTEFFICIENCYFACTOR,MIN_RAMP_RATE_UP,MIN_RAMP_RATE_DOWN,LOAD_MIN_RAMP_RATE_UP,LOAD_MIN_RAMP_RATE_DOWN,AGGREGATED
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",CALL_A_1,2,QCAA1,132,30,N,GENERATOR,30,SLOW,,,Y,BATCH,"1998/11/02 12:11:39","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",CALL_A_2,2,QCAA2,132,30,N,GENERATOR,30,SLOW,,,Y,BATCH,"1998/11/02 12:11:39","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",CALL_A_3,2,QCAA3,132,30,N,GENERATOR,30,SLOW,,,Y,BATCH,"1998/11/02 12:11:39","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",CALL_A_4,2,QCAA4,132,30,N,GENERATOR,30,SLOW,,,Y,BATCH,"1998/11/02 12:11:39","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",CALL_B_1,2,QCAB1,275,350,Y,GENERATOR,385,SLOW,,,Y,BATCH,"1998/11/02 12:11:39","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",CALL_B_2,2,QCAB2,275,350,Y,GENERATOR,385,SLOW,,,Y,BATCH,"1998/11/02 12:11:39","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",CALLNL1,2,QCAX,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:40","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",SWAN_A_1,2,QSWA1,110,68,Y,GENERATOR,68,SLOW,,,Y,BATCH,"1998/11/02 12:11:40","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",SWAN_A_2,2,QSWA2,110,68,Y,GENERATOR,68,SLOW,,,Y,BATCH,"1998/11/02 12:11:40","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",SWAN_A_3,2,QSWA3,110,68,Y,GENERATOR,68,SLOW,,,Y,BATCH,"1998/11/02 12:11:40","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",SWAN_A_6,2,QSWA6,110,68,Y,GENERATOR,68,SLOW,,,Y,BATCH,"1998/11/02 12:11:41","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",SWAN_B_1,2,QSWB1,275,125,Y,GENERATOR,125,SLOW,,,Y,BATCH,"1998/11/02 12:11:41","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",SWAN_B_2,2,QSWB2,275,125,Y,GENERATOR,125,SLOW,,,Y,BATCH,"1998/11/02 12:11:41","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",SWAN_B_3,2,QSWB3,275,125,Y,GENERATOR,125,SLOW,,,Y,BATCH,"1998/11/02 12:11:41","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",SWAN_B_4,2,QSWB4,275,125,Y,GENERATOR,125,SLOW,,,Y,BATCH,"1998/11/02 12:11:41","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",SWAN_C,2,QSWC,275,26,N,GENERATOR,26,FAST,,,N,BATCH,"1998/11/02 12:11:42","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",SWANNL1,2,QSWX,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:42","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",MM3,2,NMNP3,330,300,Y,GENERATOR,320,SLOW,,,Y,BATCH,"1998/11/02 12:11:43","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",MM4,2,NMNP4,330,300,Y,GENERATOR,320,SLOW,,,Y,BATCH,"1998/11/02 12:11:43","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",MMNL1,2,NMNPL,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:43","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",MP1,2,NMTP1,330,660,Y,GENERATOR,750,SLOW,,,Y,BATCH,"1998/11/02 12:11:43","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",MP2,2,NMTP2,330,660,Y,GENERATOR,750,SLOW,,,Y,BATCH,"1998/11/02 12:11:43","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",MPNL1,2,NMPPL,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:43","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",VP5,2,NVPP5,330,660,Y,GENERATOR,700,SLOW,,,Y,BATCH,"1998/11/02 12:11:43","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",VP6,2,NVPP6,330,660,Y,GENERATOR,700,SLOW,,,Y,BATCH,"1998/11/02 12:11:44","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",VPNL1,2,NVPPL,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:44","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",WW7,2,NWW27,330,500,Y,GENERATOR,520,SLOW,,,Y,BATCH,"1998/11/02 12:11:44","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",WW8,2,NWW28,330,500,Y,GENERATOR,520,SLOW,,,Y,BATCH,"1998/11/02 12:11:44","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",WWNL1,2,NWWPL,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:44","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",JLA01,2,VJLGA1,220,57,N,GENERATOR,65,FAST,,,N,BATCH,"1998/11/02 12:11:45","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",JLA03,2,VJLGA3,220,57,N,GENERATOR,65,FAST,,,N,BATCH,"1998/11/02 12:11:45","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",JLA04,2,VJLGA4,220,57,N,GENERATOR,65,FAST,,,N,BATCH,"1998/11/02 12:11:45","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",JLB01,2,VJLGB1,220,80,N,GENERATOR,90,FAST,,,N,BATCH,"1998/11/02 12:11:45","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",JLB02,2,VJLGB2,220,80,N,GENERATOR,90,FAST,,,N,BATCH,"1998/11/02 12:11:45","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",JLB03,2,VJLGB3,220,80,N,GENERATOR,90,FAST,,,N,BATCH,"1998/11/02 12:11:45","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",NPS,2,VNPS,220,500,Y,GENERATOR,530,SLOW,,,N,BATCH,"1998/11/02 12:11:46","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",LOYYB1,2,VLYP5,500,500,Y,GENERATOR,600,SLOW,,,Y,BATCH,"1998/11/02 12:11:46","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",LOYYB2,2,VLYP6,500,500,Y,GENERATOR,600,SLOW,,,Y,BATCH,"1998/11/02 12:11:46","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",MOR1,2,VMWT1,66,90,N,GENERATOR,90,SLOW,,,N,BATCH,"1998/11/02 12:11:47","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",MOR2,2,VMWP4,220,30,N,GENERATOR,30,SLOW,,,N,BATCH,"1998/11/02 12:11:47","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",MOR3,2,VMWP5,220,75,N,GENERATOR,75,SLOW,,,N,BATCH,"1998/11/02 12:11:47","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",MORNL1,2,VMWTL,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:47","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",TBLD,2,QTUL1,66,7,N,GENERATOR,7,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:47","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",OSB01,2,SNBN1,66,118,N,GENERATOR,118,SLOW,,,N,BATCH,"1998/11/02 12:11:48","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",OSB02,2,SNBN2,66,62,N,GENERATOR,62,SLOW,,,N,BATCH,"1998/11/02 12:11:48","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",HWPNL1,2,VHWPL,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:49","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",HWPS1,2,VHWP1,220,200,Y,GENERATOR,220,SLOW,,,Y,BATCH,"1998/11/02 12:11:49","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",HWPS2,2,VHWP2,220,200,Y,GENERATOR,220,SLOW,,,Y,BATCH,"1998/11/02 12:11:49","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",HWPS3,2,VHWP3,220,200,Y,GENERATOR,220,SLOW,,,Y,BATCH,"1998/11/02 12:11:49","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",HWPS6,2,VHWP6,220,200,Y,GENERATOR,220,SLOW,,,Y,BATCH,"1998/11/02 12:11:49","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",HWPS8,2,VHWP8,220,200,Y,GENERATOR,220,SLOW,,,Y,BATCH,"1998/11/02 12:11:50","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",LYA1,2,VLYP1,500,500,Y,GENERATOR,530,SLOW,,,Y,BATCH,"1998/11/02 12:11:50","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",LYA2,2,VLYP2,500,500,Y,GENERATOR,530,SLOW,,,Y,BATCH,"1998/11/02 12:11:50","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",LYA3,2,VLYP3,500,500,Y,GENERATOR,530,SLOW,,,Y,BATCH,"1998/11/02 12:11:50","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",LYNL1,2,VLYPL,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:51","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",BAYNL1,2,NBAYL,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:51","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",BW01,2,NBAY1,330,660,Y,GENERATOR,700,SLOW,,,Y,BATCH,"1998/11/02 12:11:51","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",BW02,2,NBAY2,330,660,Y,GENERATOR,700,SLOW,,,Y,BATCH,"1998/11/02 12:11:51","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",BW03,2,NBAY3,330,660,Y,GENERATOR,700,SLOW,,,Y,BATCH,"1998/11/02 12:11:52","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",BW04,2,NBAY4,330,660,Y,GENERATOR,700,SLOW,,,Y,BATCH,"1998/11/02 12:11:52","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",LD01,2,NLDP1,330,500,Y,GENERATOR,550,SLOW,,,Y,BATCH,"1998/11/02 12:11:52","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",LD02,2,NLDP2,330,500,Y,GENERATOR,550,SLOW,,,Y,BATCH,"1998/11/02 12:11:52","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",LD03,2,NLDP3,330,500,Y,GENERATOR,550,SLOW,,,Y,BATCH,"1998/11/02 12:11:52","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",LD04,2,NLDP4,330,500,Y,GENERATOR,550,SLOW,,,Y,BATCH,"1998/11/02 12:11:53","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",LIDDNL1,2,NLDPL,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:53","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",GB01,2,NBKG1,275,25,Y,GENERATOR,30,"NOT DISPATCHED",,,Y,BATCH,"1998/11/02 12:11:53","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",BROWNMT,2,NBRM,132,4,Y,GENERATOR,6,"NOT DISPATCHED",,,Y,BATCH,"1998/11/02 12:11:53","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",ER01,2,NEPS1,330,660,Y,GENERATOR,696,SLOW,,,Y,BATCH,"1998/11/02 12:11:54","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",ER02,2,NEPS2,330,660,Y,GENERATOR,696,SLOW,,,Y,BATCH,"1998/11/02 12:11:54","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",ER03,2,NEPS3,500,660,Y,GENERATOR,696,SLOW,,,Y,BATCH,"1998/11/02 12:11:54","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",ER04,2,NEPS4,500,660,Y,GENERATOR,696,SLOW,,,Y,BATCH,"1998/11/02 12:11:54","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",ERNL1,2,NEPSL,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:54","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",HUMENSW,2,NHUM,132,25,Y,GENERATOR,50,SLOW,,,Y,BATCH,"1998/11/02 12:11:55","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",HUMEV,2,VHUM,66,25,N,GENERATOR,50,SLOW,,,N,BATCH,"1998/11/02 12:11:55","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",KEEPIT,2,NKPT,275,6,Y,GENERATOR,8,"NOT DISPATCHED",,,Y,BATCH,"1998/11/02 12:11:55","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",KKGTS,2,NKLK,132,96,N,GENERATOR,100,FAST,,,Y,BATCH,"1998/11/02 12:11:55","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",NGTS,2,NNGT,132,100,N,GENERATOR,100,FAST,,,Y,BATCH,"1998/11/02 12:11:55","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",SHGEN,2,NSHL,330,240,N,GENERATOR,240,FAST,,,Y,BATCH,"1998/11/02 12:11:55","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",SHPUMP,2,NSHP1,330,240,N,LOAD,240,FAST,N,,Y,BATCH,"1998/11/02 12:11:56","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",WG01,2,NWGB,275,50,Y,GENERATOR,50,"NOT DISPATCHED",,,Y,BATCH,"1998/11/02 12:11:56","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",DRYCGT1,2,SDCA1,66,52,Y,GENERATOR,55,FAST,,,Y,BATCH,"1998/11/02 12:11:57","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",DRYCGT2,2,SDCA2,66,52,Y,GENERATOR,55,FAST,,,Y,BATCH,"1998/11/02 12:11:57","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",DRYCGT3,2,SDCA3,66,52,Y,GENERATOR,55,FAST,,,Y,BATCH,"1998/11/02 12:11:57","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",MINTARO,2,SMPS,275,90,Y,GENERATOR,95,FAST,,,Y,BATCH,"1998/11/02 12:11:57","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
