catalog_key,event_key,first_seen_at,last_seen_at,seen_count,last_bucket,last_tier,max_materiality_score,title,source,url,published,summary
nextdc expands data centre war chest to 6 6b after latest raise,nextdc expands data centre war chest to 6 6b after latest raise,2026-05-13T23:45:56Z,2026-08-07T23:51:45Z,5,ANZ DC,MEDIUM,0.700,NextDC expands data centre war chest to $6.6b after latest raise - afr.com,afr.com,https://news.google.com/rss/articles/CBMirwFBVV95cUxQWlhOY00yU0NaMDItcnR1THFOMDJwLVhWODhxdFE2RE83ZUxRZ3A3a1k0X04tYlNqVlNHd25TUlU0ZXc0YndZOHktN2Zyci1tdWJ6UjFYSnl6TGtDQ1dnMnNQa2RJS3E0a0pkbDFUZzV2SzFfUm9IY0pHQ1FwdUdob3F6RXBQMGMzUXd4akktbzVJRVRHbzI3TUVZQ3lLS0VLWmR1aHRYSWFILWhBLTNj?oc=5,2026-04-24T07:00:00+00:00,
deepseek resumes funding round seeking nearly 8 billion bloomberg news reports,deepseek resumes funding round seeking nearly 8 billion bloomberg news reports,2026-08-07T23:51:45Z,2026-08-07T23:51:45Z,1,Frontier Labs,HIGH,0.927,"DeepSeek resumes funding round seeking nearly $8 billion, Bloomberg News reports - Reuters",Reuters,https://news.google.com/rss/articles/CBMizgFBVV95cUxQM0RjbnVQaVJjMEVFc0xrR2xOaWZCTlJOY3poNlk0TWp4bTJkZUlQUzFNSllPY2JnNTNrZjB0ZDZiVk1WS1pUT1Nvb0NxTmFGdElrSGE5SnBrVDNwU2hiTHlDUmdRSjRZbzVBWGtJUWNaV1F6SmxvcjNNb0gxUEQwcmtaMVEyT1JyejIwU2lxbTJNcGtHcmNGU2JQVmZUUGVCU0pKSDZ2VTh0NU8yUHNpYVhyUmc5a3dnbEc5R2V0b1YzM0VvdkpMdlpYdXZaUQ?oc=5,2026-08-06T14:33:58+00:00,
softbank secures 10 billion margin loan backed by openai stake,softbank secures 10 billion margin loan backed by openai stake,2026-08-07T23:51:45Z,2026-08-07T23:51:45Z,1,Frontier Labs,HIGH,0.926,SoftBank Secures $10 Billion Margin Loan Backed by OpenAI Stake - bloomberg.com,bloomberg.com,https://news.google.com/rss/articles/CBMiswFBVV95cUxNTmdhaGp2R3BjOURzVVhWQWF0d09UNWtrN1puT210aGVrWlQ4S2x0cC13YjROWnl3aUJmSmdBMEVmMVNqb2c4emtESEJ1dWpEUFRpU29hV3hoa2NGdUtzZF9OLUxQNUZvUnhCR2pmRDVqbldOTF81OUNHbllGVnViY3REdjhlWjg2TjhxQXA3dkJnNUZlY1d3R21jb1ZzSkdJeGJwVkVjWjU4bzlDMFl5YmpQbw?oc=5,2026-08-06T09:38:57+00:00,
banks to offload 15bn of debt for anthropic data centre backed by google,banks to offload 15bn of debt for anthropic data centre backed by google,2026-08-07T23:51:45Z,2026-08-07T23:51:45Z,1,Hyperscaler CAPEX,HIGH,0.921,Banks to offload $15bn of debt for Anthropic data centre backed by Google - Financial Times,Financial Times,https://news.google.com/rss/articles/CBMihAFBVV95cUxNYjBQTzA3UUUybzRWRFJHRFJVQUdseXFPTzFqcUktOVRvc19iMzVHSEYxRzNKRUhKWEdPQWRzaDl4QXdIUm1vS0dpQkxyTG41ZWJEc2VGN0tTdk14UHY4Wkt3LVZjV2FYY3Zpdnp2TldZRUMxc1ZEbFczUjJucHdxSGk2aEc?oc=5,2026-08-05T04:03:45+00:00,Banks to offload $15bn of debt for Anthropic dat
electrovaya launches stationary energy storage system for data center market,electrovaya launches stationary energy storage system for data center market,2026-08-07T23:51:45Z,2026-08-07T23:51:45Z,1,Supply Chain,MEDIUM,0.815,Electrovaya launches stationary energy storage system for data center market,DatacenterDynamics,https://www.datacenterdynamics.com/en/news/en/,2026-08-07T12:00:38+00:00,Announces commercial agreement with Amazon
macquarie technology secures land for 3b sydney data centre,macquarie technology secures land for 3b sydney data centre,2026-08-07T23:51:45Z,2026-08-07T23:51:45Z,1,ANZ DC,MEDIUM,0.700,Macquarie Technology secures land for $3b Sydney data centre - afr.com,afr.com,https://news.google.com/rss/articles/CBMivAFBVV95cUxNZ3Fvd2Q0UDBlTWs1bkY2RnRmV1VfUElOMWtnRDBUd1Nza2VhVG5YaWFGNzQzZG1VM2Z2dUx0M3k3bkpseVk0dVVaLUdXV1ljSzNZQ1pYUWpIOEFXdzQxcFJpWUNnUmRRMzBWWUZXTG9OSk5Va3hULTgwU1duV1p0TExaSkxtZWc2NHpYcUZONWg0VzB5R1hkVDdRaFMwZnA1VHdaNVYzdUFSYU9Ha2Y4bjl5akVvZmZRVTlTXw?oc=5,2026-07-14T07:00:00+00:00,
nextdc breaks ground on 4 4mw edge data center in geelong australia,nextdc breaks ground on 4 4mw edge data center in geelong australia,2026-05-19T00:03:05Z,2026-07-31T23:51:20Z,5,ANZ DC,MEDIUM,0.490,"NextDC breaks ground on 4.4MW Edge data center in Geelong, Australia - Data Center Dynamics",Data Center Dynamics,https://news.google.com/rss/articles/CBMirwFBVV95cUxNNXlTYmpXRFlFbzBfTWdEdjJzcENpMDJWVG02SU1hWjNkdHo3M1V4UGtGSzBGeThyYVBGaWYyalc4YmJQLWRYajZ4VjlFX3Q3QzVDX2c1RXN0ZkxpakZzWWswU1NDVEJJaWdkRnlNNC1wZWxETnByS0Rrd19qbE0wQ2xtTW9GUmpBSjN2Vmp6blQwT18temd6OEp4MVA3VE5KMW1mVzFpd3ZTUWlEZXlj?oc=5,2026-04-22T07:00:00+00:00,
nextdc shares jump as pro forma contract utilisation hits 740mw,nextdc shares jump as pro forma contract utilisation hits 740mw,2026-07-24T23:51:26Z,2026-07-31T23:51:20Z,2,ANZ DC,HIGH,0.890,NextDC shares jump as pro forma contract utilisation hits 740MW - Capital Brief,Capital Brief,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPSEZMMjBmQzlabG9ZUjM4cTYyS2VYTGxUZ0p0ZmVPVTVKb24wel9CNFRyXzNWdW1sUURhQ3VkbnVRT2Q3MFFwYUY2RVhTZVp3dzZmdXdUZDlLU2w2Qy1FaVdSUDZ2SEp0U1AyUVkya2JXRkF5aENxUWdlQzJGOUxVb09xUFlzX3RLYTd2Ml9SS0F4S29lQ3ZJOG9Ib2IxeXVaeXhCZThfYkNIdVlhNVlhUmpBMjgwZ2l0RnVxQnp0OW4?oc=5,2026-07-21T02:21:00+00:00,
cdc data centres new zealand swings to 88m loss clocks 38m tax benefit,cdc data centres new zealand swings to 88m loss clocks 38m tax benefit,2026-07-17T23:51:39Z,2026-07-31T23:51:20Z,2,ANZ DC,MEDIUM,0.500,"CDC Data Centres New Zealand swings to $88m loss, clocks $38m tax benefit - NZ Herald",NZ Herald,https://news.google.com/rss/articles/CBMi2gFBVV95cUxOT1N4RFg1cnpNRmtfaDRyakhGbVBHSV9jRWJIVjJma09QV1B2RUlPVWRGdDRubUtGaEN2RS1PbVQybmhBY2YtZG9nSjFmY3JJSnFmakI4SW5zV0ljck82UmJTUE5ia01OeGp0UVNoa0xjYThRZllhNW90MHFIRURtQy1WdjVnNG5NU1BPbE5SQkxMR2pTbUhfd2VCXy1Zb3ZILU1HdzAxb2tia1ZVYm9YN3lQTE5aQ25EcHdoTXpObnE0Y0hSMmdCekF2QkVkYS03OVFxT1lQVjNDdw?oc=5,2026-07-08T04:01:30+00:00,
amazon lifts 2026 ai capex to 220b still capacity constrained,amazon lifts 2026 ai capex to 220b still capacity constrained,2026-07-31T23:51:20Z,2026-07-31T23:51:20Z,1,Hyperscaler CAPEX,HIGH,0.928,"Amazon Lifts 2026 AI Capex to $220B, Still Capacity-Constrained - Data Center Knowledge",Data Center Knowledge,https://news.google.com/rss/articles/CBMixAFBVV95cUxNU004dGJtU0c4Z2lmMmdONnEtd0NsZGotNTBWVG5wNlNyYlBPYWxhN3NaenNzdG05YWt4SUJGdWhXUUJlTV9rY1Y4dGdLcVVpQV9MNXNJSldtUTJsSVIyYkF4Z3hDWnFNdlZ5SXA4cW5HRXZFQ3ExdHhXUWYtUWlfaV9ET29NN1A4UnZqSThTVnozT3BUbkFkVGE2aFhVMW9SRlBOaU5OcnUwQlNwSHQ4eG1xUDBXZ3l1blB6aVhWTzBUeUs5?oc=5,2026-07-31T19:11:48+00:00,
aws reports fastest growth since 2021 amazon annual capex to hit 220bn on ai memory costs,aws reports fastest growth since 2021 amazon annual capex to hit 220bn on ai memory costs,2026-07-31T23:51:20Z,2026-07-31T23:51:20Z,1,Supply Chain,HIGH,0.921,"AWS reports fastest growth since 2021, Amazon annual capex to hit $220bn on AI memory costs",DatacenterDynamics,https://www.datacenterdynamics.com/en/news/aws-reports-fastest-growth-since-2021-amazon-annual-capex-to-hit-220bn-on-ai-memory-costs/,2026-07-31T15:43:46+00:00,Cloud sales boom as company ramps up data center buildout
exclusive openai finds evidence other ai agents escaped containment as it widens hacking probe,exclusive openai finds evidence other ai agents escaped containment as it widens hacking probe,2026-07-31T23:51:20Z,2026-07-31T23:51:20Z,1,Frontier Labs,HIGH,0.867,EXCLUSIVE: OpenAI finds evidence other AI agents escaped containment as it widens hacking probe - Reuters,Reuters,https://news.google.com/rss/articles/CBMivAFBVV95cUxQYTc2SUhrNmVER0NvNW9nZHBwbklFMlA0eTNSRFZETXpfSWpVYU1wOUhaMDRLUnRVSEhtRzByeEktX2FEX1ZzaThNMnpZMW9JdVZDZkVRTEQ4UjdlakFPVXZTUjZaM2JOUkhpN1BxeEU4bWJuSjNkUldBNXRVWDkyYWVXVUlKM0VEZU5wZklfX2FJRkQ0bmVybTIyY0xpbHd6aGtIVmZ3YU5ocGdsdFlNeXdOQlBXOUsyZnZtZA?oc=5,2026-07-31T22:39:05+00:00,
bouygues wins 1 3bn contract for airtrunk s sydney data centre expansion,bouygues wins 1 3bn contract for airtrunk s sydney data centre expansion,2026-07-31T23:51:20Z,2026-07-31T23:51:20Z,1,ANZ DC,HIGH,0.862,Bouygues wins $1.3bn contract for AirTrunk’s Sydney data centre expansion - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMikwFBVV95cUxPUmcxNG5qcWJLTVVnc2tUSXd3RXRPZ2FLcVVlWlpHOWJfOHliajJoWWVxYzdMbGhHSzRldkVPLTlXRVBJMm1pc0VQcXB4MHZQR3V0WkhVSGdHejJpLURYdTJCWlBQSDFyb0xHY1RybHFyWU1IOXhObC1YNlhTOXJmMzRtWTdNbnVSS28zM0pVWEtfekk?oc=5,2026-07-31T10:00:00+00:00,Bouygues wins $1.3bn contrac
crusoe plans 1 billion expansion of google linked data center project llano,crusoe plans 1 billion expansion of google linked data center project llano,2026-07-31T23:51:20Z,2026-07-31T23:51:20Z,1,Hyperscaler CAPEX,HIGH,0.861,Crusoe plans $1 billion expansion of Google-linked data center ‘Project Llano’ - Blockspace Media,Blockspace Media,https://news.google.com/rss/articles/CBMihwFBVV95cUxNUFJYdHlZUDdFYlpFcWx5WHlId2lZaDVMQl96TURzclFLT1VwWUxkWE5JVEF5Y243UGZDTDhsZGdRTW5iT0Voa1Q0OWI2YnlvX0lDNDJCZ2Y2Q0s5N3RkaVVfQTQ1YmxrYVVRb3htUWpDR2pDZlpEemNIU3JwZkZxMzFUZW5KV0U?oc=5,2026-07-31T15:39:12+00:00,Crusoe plans $1 billion expansion of Google-
aws looks to build 800 000 sq ft data center campus at gwu site in ashburn virginia,aws looks to build 800 000 sq ft data center campus at gwu site in ashburn virginia,2026-07-31T23:51:20Z,2026-07-31T23:51:20Z,1,Supply Chain,MEDIUM,0.816,"AWS looks to build 800,000 sq ft data center campus at GWU site in Ashburn, Virginia",DatacenterDynamics,https://www.datacenterdynamics.com/en/news/aws-looks-to-build-800000-sq-ft-data-center-campus-at-gwu-site-in-ashburn-virginia/,2026-07-31T12:20:27+00:00,"County supervisor vows to use ""every tool available"" to fight development"
microsoft alphabet meta pivot from buy to build in ai,microsoft alphabet meta pivot from buy to build in ai,2026-07-31T23:51:20Z,2026-07-31T23:51:20Z,1,Hyperscaler CAPEX,MEDIUM,0.798,"Microsoft, Alphabet, Meta Pivot from Buy to Build in AI - Data Center Knowledge",Data Center Knowledge,https://news.google.com/rss/articles/CBMirgFBVV95cUxPaTZQUHcyT2xsaXpVcHlMUG82N1RJQllWY3ZBX0VZZlJIODhrb2l4MUVqem5oRTV0TURtcW1WNUxPU1VtOFlLaTJTcjdSb05FRElNdHdtcVhFamJ4a3lvSG83RXhfTmdyTm1mRGxZRlh6M3haSFl4T21mY1NSckZ6bTZqTkhhTUJneHJvbFFUZ0dBcm5EX052dzZjaEd5RWVNVUFnbk9kT2VWeFFYU1E?oc=5,2026-07-30T16:05:18+00:00,
aussie data center firm nextdc secures 250mw data center deals set to raise more than au 1 5 billion via new shares,aussie data center firm nextdc secures 250mw data center deals set to raise more than au 1 5 billion via new shares,2026-07-03T23:52:00Z,2026-07-24T23:51:26Z,3,ANZ DC,HIGH,0.890,"Aussie data center firm NextDC secures 250MW data center deals, set to raise more than AU$1.5 billion via new shares - Data Center Dynamics",Data Center Dynamics,https://news.google.com/rss/articles/CBMi7gFBVV95cUxOWldEeE1IbFc5OEljQzc1Q0VEcWtYZ19oYUh2bWJ5S1JEbUFWLWtudVNSLXZOZUd4YmRWR3FiUjJvTGQ2Rk82dG1UUGhmSTV6VjdfZmxnTXBYcm5HcWFzbWRCRHRQeDhVc25PMlY3YjFSSHNjQmxOV0htMGpQM19vLWxnN09RdW1KX0phakdlemxNVm5jWEI2V0tMc1oxUExHT3JfZWE5V294R0dVeTlPWFp6YTJUZGRYN2Y2QUNWN2luREVaWXpjMjlvbldZRjZLTEpmN2FCcjQ5UWhRSC10ak1kbEJhSHJDaVVENFRn?oc=5,2026-04-20T07:00:00+00:00,
verizon lands 1 billion google deal as ai infrastructure demand soars,verizon lands 1 billion google deal as ai infrastructure demand soars,2026-07-24T23:51:26Z,2026-07-24T23:51:26Z,1,Hyperscaler CAPEX,HIGH,0.870,Verizon Lands $1 Billion Google Deal as AI Infrastructure Demand Soars - PYMNTS.com,PYMNTS.com,https://news.google.com/rss/articles/CBMixgFBVV95cUxON1ZRTGdnR2Z2TmdmbktTRmRDcWliT0JhbV9CMTBTRG9ncEU2QnF6dWp0bDNaMjB2ZTFNLVJjc0NjcTZicG0xcTFsOTA4YkRUbm9TcnVSVlFReGl5dDZIQzZOOHpDZHZCblVGSlZPRGZHSy1zVjhvdVlDVGdpNWd0Q2FwU2lKYjZidURwTU9aRG5NTXBONWs3UEFicWpFdWtHNXM3UzlNb3NQNFJpZ2ZLZ0IwamdvbFp2Q3dCWXVrRkR2dFVtZlE?oc=5,2026-07-24T20:05:46+00:00,
google verizon strike 1 billion deal to boost ai infrastructure,google verizon strike 1 billion deal to boost ai infrastructure,2026-07-24T23:51:26Z,2026-07-24T23:51:26Z,1,Hyperscaler CAPEX,HIGH,0.866,"Google, Verizon strike $1 billion deal to boost AI infrastructure - The News International",The News International,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOTi1NRVZ3bG4xRGEyU3VVMWphMEdobHJ0SDlmMHctYWt0VWRONGs2S1hHQjRrcEpQd2xkQkxULUhhOFpOQmFxZEs3Z1M3aGdvZG9NdFpPMlRZWGZiN292NXZtVXlhMEg5SjlpdjZydmM2VEw3dEROQ0hDMFRYc1hFbTBTTEF6VFQ1R1NDcWZvOW43cWRSWFU4VEhwY1pKdjFwWk5wamd1NWM?oc=5,2026-07-24T18:10:00+00:00,
meta anthropic in talks for potential 10 billion compute lease deal source says,meta anthropic in talks for potential 10 billion compute lease deal source says,2026-07-17T23:51:39Z,2026-07-17T23:51:39Z,1,Frontier Labs,HIGH,0.962,"Meta, Anthropic in talks for potential $10 billion compute lease deal, source says - Reuters",Reuters,https://news.google.com/rss/articles/CBMipgFBVV95cUxNS2NqN2VtZFNDLWpDUGxnTXlpZmdWRmI3QlJyeTZSS2cwOEdyVEVGY0NGd3F4UGdqYkVoTjVaUWR0bzJVcW8yY0N1dG1zUnl0UUVDa2dKYVhKU2F5OWJPTWFfSGdZWlRfMjZZdEVxUTRiVDE1LXhMSjR0a0FOMFItVHA3V3FTYlVjU0Mzcy12VG9JbVlORGF2bXBFa1BIUjBNaHR6ZnBn?oc=5,2026-07-17T20:58:02+00:00,Met
anthropic considers leasing compute from meta in 10bn deal,anthropic considers leasing compute from meta in 10bn deal,2026-07-17T23:51:39Z,2026-07-17T23:51:39Z,1,Supply Chain,HIGH,0.925,Anthropic considers leasing compute from Meta in $10bn deal,DatacenterDynamics,https://www.datacenterdynamics.com/en/news/anthropic-considers-leasing-compute-from-meta-in-10bn-deal/,2026-07-17T17:28:24+00:00,As Meta increasingly looks set to become a cloud provider
australia s macquarie dc acquires 34 200 sqm site in sydney for 200mw data center campus,australia s macquarie dc acquires 34 200 sqm site in sydney for 200mw data center campus,2026-07-17T23:51:39Z,2026-07-17T23:51:39Z,1,ANZ DC,HIGH,0.896,"Australia's Macquarie DC acquires 34,200 sqm site in Sydney for 200MW data center campus - Data Center Dynamics",Data Center Dynamics,https://news.google.com/rss/articles/CBMiygFBVV95cUxPbGFvUVk2eGt0cmVGMzNKc1lWcFhNQWp5MnBvM0dEU19nLXl0WUxwVmF4TzlXMHRMbU9NUktJb2lNNnUwUllyLUljeF92aXJwSXNKTEZzLTNGeXZlZXAweGdGSnU4X2tDaEQ2SWZCZGpNZ1E4enNuRFQxdjRsZDNfY1FBSW9wVXV6YWVHOEV4T1hvZ1hhUV9mUVMyMmpCV3pjWG1sN2JWeExUZldOazEzd00xcUhJc1hSR0h0VlhIWGRtZ214V282WkpB?oc=5,2026-07-16T11:24:48+00:00,
