project_name,campus,operator,parent_company,operator_type,nem_region,state,suburb,status,facility_mw,critical_it_mw,startup_year,full_capacity_year,capex_aud_m,power_strategy,workload_type,pue,wue,pue_source,financial_sponsor,source,power_secured,source_url,source_date,source_page_or_section,evidence_quote,capacity_basis,last_verified_at,it_load_mw,gross_power_mw,power_consumption_mw,grid_connection_mva,campus_full_build_mw,unverified_capacity_mw,include_in_project_totals,remediation_status,remediation_notes,removal_reason,removed_at,removal_notes
Azure Sydney Region,,Microsoft Azure,Microsoft,Hyperscaler,NSW1,NSW,Various,Operating,,,,,,Grid,Cloud,1.16,0.3,Microsoft 2024 Sustainability (global avg),,Australian Government / Microsoft investment announcement; MW not disclosed,,https://www.minister.industry.gov.au/ministers/husic/media-releases/microsoft-investment-australian-innovation,2023-10-24,joint media release,"This will grow its local data centre footprint from 20 to 29 sites in Sydney, Canberra and Melbourne.",regional_estimate_no_project_mw,2026-05-07,,,,,,150.0,False,quarantined_regional_estimate,Source supports investment/site count but not row-level MW or named physical facility capacity.,regional_provider_estimate_not_project,,
Azure Melbourne Region,,Microsoft Azure,Microsoft,Hyperscaler,VIC1,VIC,Various,Operating,,,,,,Grid,Cloud,1.16,0.3,Microsoft 2024 Sustainability (global avg),,Australian Government / Microsoft investment announcement; MW not disclosed,,https://www.minister.industry.gov.au/ministers/husic/media-releases/microsoft-investment-australian-innovation,2023-10-24,joint media release,"This will grow its local data centre footprint from 20 to 29 sites in Sydney, Canberra and Melbourne.",regional_estimate_no_project_mw,2026-05-07,,,,,,75.0,False,quarantined_regional_estimate,Source supports investment/site count but not row-level MW or named physical facility capacity.,regional_provider_estimate_not_project,,
Azure Canberra,,Microsoft Azure,Microsoft,Hyperscaler,NSW1,NSW,Canberra,Operating,,,,,,Grid,Cloud,1.16,0.3,Microsoft 2024 Sustainability (global avg),,Australian Government / Microsoft investment announcement; MW not disclosed,,https://www.minister.industry.gov.au/ministers/husic/media-releases/microsoft-investment-australian-innovation,2023-10-24,joint media release,"This will grow its local data centre footprint from 20 to 29 sites in Sydney, Canberra and Melbourne.",regional_estimate_no_project_mw,2026-05-07,,,,,,50.0,False,quarantined_regional_estimate,Source supports investment/site count but not row-level MW or named physical facility capacity.,regional_provider_estimate_not_project,,
Azure Sydney Expansion,,Microsoft Azure,Microsoft,Hyperscaler,NSW1,NSW,Western Sydney,Under Construction,,,2026.0,,5000.0,Grid,Cloud/AI,1.12,0.1,Design target — MS zero-water cooling,,Australian Government / Microsoft investment announcement; MW not disclosed,,https://www.minister.industry.gov.au/ministers/husic/media-releases/microsoft-investment-australian-innovation,2023-10-24,joint media release,"This will grow its local data centre footprint from 20 to 29 sites in Sydney, Canberra and Melbourne.",regional_estimate_no_project_mw,2026-05-07,,,,,,200.0,False,quarantined_regional_estimate,Source supports investment/site count but not row-level MW or named physical facility capacity.,regional_provider_estimate_not_project,,
Azure Queensland,,Microsoft Azure,Microsoft,Hyperscaler,QLD1,QLD,Various,Proposed,,,2028.0,,,Grid,Cloud,1.12,0.1,Design target — MS zero-water cooling,,Australian Government / Microsoft investment announcement; MW not disclosed,,https://www.minister.industry.gov.au/ministers/husic/media-releases/microsoft-investment-australian-innovation,2023-10-24,joint media release,"This will grow its local data centre footprint from 20 to 29 sites in Sydney, Canberra and Melbourne.",regional_estimate_no_project_mw,2026-05-07,,,,,,150.0,False,quarantined_regional_estimate,Source supports investment/site count but not row-level MW or named physical facility capacity.,regional_provider_estimate_not_project,,
Google Sydney,,Google Cloud,Alphabet,Hyperscaler,NSW1,NSW,Various,Operating,,,,,,Grid,Cloud,1.09,0.5,Google 2024 Environmental Report (global avg),,Google Cloud regions and zones documentation; MW not disclosed,,https://cloud.google.com/compute/docs/regions-zones,,available regions and zones,"Google Cloud lists Australia regions/zones including Sydney and Melbourne, but does not disclose facility MW.",regional_estimate_no_project_mw,2026-05-07,,,,,,80.0,False,quarantined_regional_estimate,Source supports cloud region existence but not row-level MW or named physical facility capacity.,regional_provider_estimate_not_project,,
Google Melbourne,,Google Cloud,Alphabet,Hyperscaler,VIC1,VIC,Various,Operating,,,,,,Grid,Cloud,1.09,0.5,Google 2024 Environmental Report (global avg),,Google Cloud regions and zones documentation; MW not disclosed,,https://cloud.google.com/compute/docs/regions-zones,,available regions and zones,"Google Cloud lists Australia regions/zones including Sydney and Melbourne, but does not disclose facility MW.",regional_estimate_no_project_mw,2026-05-07,,,,,,50.0,False,quarantined_regional_estimate,Source supports cloud region existence but not row-level MW or named physical facility capacity.,regional_provider_estimate_not_project,,
Google Sydney Expansion,,Google Cloud,Alphabet,Hyperscaler,NSW1,NSW,Western Sydney,Proposed,,,2028.0,,2000.0,Grid,Cloud/AI,1.08,0.4,Design target — Google next-gen,,Google Cloud regions and zones documentation; MW not disclosed,,https://cloud.google.com/compute/docs/regions-zones,,available regions and zones,"Google Cloud lists Australia regions/zones including Sydney and Melbourne, but does not disclose facility MW.",regional_estimate_no_project_mw,2026-05-07,,,,,,150.0,False,quarantined_regional_estimate,Source supports cloud region existence but not row-level MW or named physical facility capacity.,regional_provider_estimate_not_project,,
Oracle Sydney,,Oracle Cloud,Oracle,Hyperscaler,NSW1,NSW,Various,Operating,,,2024.0,,,Grid,Cloud,1.2,0.5,Industry benchmark — hyperscaler,,Oracle cloud regions page; MW not disclosed,,https://www.oracle.com/au/cloud/public-cloud-regions/,,public cloud regions,Oracle Cloud regions are situated in different cities and support high availability architectures.,regional_estimate_no_project_mw,2026-05-07,,,,,,40.0,False,quarantined_regional_estimate,Source supports OCI region presence but not row-level MW or named physical facility capacity.,regional_provider_estimate_not_project,,
Oracle Melbourne,,Oracle Cloud,Oracle,Hyperscaler,VIC1,VIC,Various,Proposed,,,2027.0,,,Grid,Cloud,1.18,0.4,Design target — Oracle next-gen,,Oracle cloud regions page; MW not disclosed,,https://www.oracle.com/au/cloud/public-cloud-regions/,,public cloud regions,Oracle Cloud regions are situated in different cities and support high availability architectures.,regional_estimate_no_project_mw,2026-05-07,,,,,,50.0,False,quarantined_regional_estimate,Source supports OCI region presence but not row-level MW or named physical facility capacity.,regional_provider_estimate_not_project,,
Meta Australia,,Meta,Meta Platforms,Hyperscaler,VIC1,VIC,Various,Proposed,,,2028.0,,,Grid,AI/HPC,1.1,0.2,Meta 2024 Sustainability Report (global avg),,No row-level Australian data-centre source found,,,,,,unsupported_estimate,2026-05-07,,,,,,100.0,False,quarantined_no_source,No primary or named secondary source found for a Meta Australia data-centre project or MW figure in this pass.,unsupported_duplicate_or_legacy_placeholder,,
YondrGroup Western Sydney,Yondr SYD,Yondr Group,Yondr Group,Developer,NSW1,NSW,Western Sydney,Under Construction,,,2026.0,,,Grid,AI/HPC,1.25,0.8,Design target — Yondr purpose-built hyperscale,,No row-level source found in remediation pass,,,,,,unsupported_estimate,2026-05-07,,,,,,120.0,False,quarantined_no_source,No primary or named secondary source found for this named project and MW figure in this pass.,unsupported_duplicate_or_legacy_placeholder,,
CloudHQ Sydney,CloudHQ SYD,CloudHQ,CloudHQ,Developer,NSW1,NSW,Western Sydney,Proposed,,,2027.0,,,Grid,Cloud,1.3,1.0,Industry benchmark — modern developer,,No row-level source found in remediation pass,,,,,,unsupported_estimate,2026-05-07,,,,,,200.0,False,quarantined_no_source,No primary or named secondary source found for this named project and MW figure in this pass.,unsupported_duplicate_or_legacy_placeholder,,
Endeavour Energy DC Precinct,Endeavour DC,Various,Various,Developer,NSW1,NSW,Western Sydney,Proposed,,,2028.0,2035.0,,Grid,Cloud,1.3,1.0,Industry benchmark — modern developer,,No row-level MW source found in remediation pass,,,,,,unsupported_estimate,2026-05-07,,,,,,500.0,False,quarantined_no_row_level_source,Source label did not resolve to a row-level URL/evidence quote supporting the MW figure; capacity excluded from project totals pending verification.,unsupported_duplicate_or_legacy_placeholder,,
CDC Canberra Expansion,CDC Canberra Expansion,CDC Data Centres,Infratil,Colocation,NSW1,NSW,Canberra,Operating,,,2024.0,,,Grid,Traditional,1.38,0.01,CDC 2024 Sustainability Report,,No current row-level CDC capacity source found,,,,,,unsupported_legacy_split,2026-05-07,,,,,,56.0,False,quarantined_no_row_level_source,Current CDC location pages do not disclose this legacy row as a separate MW-bearing campus; excluded from capacity totals pending source.,unsupported_duplicate_or_legacy_placeholder,,
CDC Perth UC,CDC Perth UC,CDC Data Centres,Infratil,Colocation,WA,WA,Maddington,Under Construction,,,2026.0,,,Grid,Cloud,1.3,0.01,Design target — CDC LiquidCore next-gen,,Duplicate of CDC Maddington campus after remediation,,,,,,duplicate_or_legacy_split,2026-05-07,,,,,,34.0,False,quarantined_duplicate,Legacy split row duplicated the remediated CDC Maddington campus row; excluded from totals.,unsupported_duplicate_or_legacy_placeholder,,
DCI Melbourne,DCI Melbourne,DCI Data Centres,Brookfield,Colocation,VIC1,VIC,Melbourne,Operating,,,2020.0,,,Grid,Traditional,1.4,1.2,Industry benchmark — modern colocation,,DCI website,,,,,,pending_row_level_source,2026-05-07,,,,,,15.0,False,quarantined_pending_source_url,No row-level source_url/evidence_quote/capacity_basis stored after all-batches remediation sweep; excluded from capacity totals pending verification.,operator_current_sources_do_not_support_row_level_project_or_mw,,
DCI Perth,DCI Perth,DCI Data Centres,Brookfield,Colocation,WA,WA,Perth,Operating,,,2019.0,,,Grid,Traditional,1.4,1.2,Industry benchmark — modern colocation,,DCI website,,,,,,pending_row_level_source,2026-05-07,,,,,,8.0,False,quarantined_pending_source_url,No row-level source_url/evidence_quote/capacity_basis stored after all-batches remediation sweep; excluded from capacity totals pending verification.,operator_current_sources_do_not_support_row_level_project_or_mw,,
NTT Sydney,NTT SYD1,NTT,NTT,Telecom,NSW1,NSW,Sydney,Operating,,,2020.0,,,Grid,Traditional,1.4,1.2,NTT Global Data Centers sustainability,,NTT website,,,,,,pending_row_level_source,2026-05-07,,,,,,20.0,False,quarantined_pending_source_url,No row-level source_url/evidence_quote/capacity_basis stored after all-batches remediation sweep; excluded from capacity totals pending verification.,operator_current_sources_do_not_support_row_level_project_or_mw,,
NTT Melbourne,NTT MEL1,NTT,NTT,Telecom,VIC1,VIC,Melbourne,Operating,,,2019.0,,,Grid,Traditional,1.4,1.2,NTT Global Data Centers sustainability,,NTT website,,,,,,pending_row_level_source,2026-05-07,,,,,,12.0,False,quarantined_pending_source_url,No row-level source_url/evidence_quote/capacity_basis stored after all-batches remediation sweep; excluded from capacity totals pending verification.,operator_current_sources_do_not_support_row_level_project_or_mw,,
Vocus Sydney,Vocus SYD,Vocus,Vocus Group,Telecom,NSW1,NSW,Alexandria,Operating,,,2015.0,,,Grid,Traditional,1.6,1.5,Industry benchmark — mid-size telecom,,Vocus website,,,,,,pending_row_level_source,2026-05-07,,,,,,10.0,False,quarantined_pending_source_url,No row-level source_url/evidence_quote/capacity_basis stored after all-batches remediation sweep; excluded from capacity totals pending verification.,operator_current_sources_do_not_support_row_level_project_or_mw,,
Vocus Melbourne,Vocus MEL,Vocus,Vocus Group,Telecom,VIC1,VIC,Melbourne,Operating,,,2016.0,,,Grid,Traditional,1.6,1.5,Industry benchmark — mid-size telecom,,Vocus website,,,,,,pending_row_level_source,2026-05-07,,,,,,8.0,False,quarantined_pending_source_url,No row-level source_url/evidence_quote/capacity_basis stored after all-batches remediation sweep; excluded from capacity totals pending verification.,operator_current_sources_do_not_support_row_level_project_or_mw,,
Vocus Brisbane,Vocus BNE,Vocus,Vocus Group,Telecom,QLD1,QLD,Brisbane,Operating,,,2017.0,,,Grid,Traditional,1.6,1.5,Industry benchmark — mid-size telecom,,Vocus website,,,,,,pending_row_level_source,2026-05-07,,,,,,5.0,False,quarantined_pending_source_url,No row-level source_url/evidence_quote/capacity_basis stored after all-batches remediation sweep; excluded from capacity totals pending verification.,operator_current_sources_do_not_support_row_level_project_or_mw,,
Vocus Perth,Vocus PER,Vocus,Vocus Group,Telecom,WA,WA,Perth,Operating,,,2018.0,,,Grid,Traditional,1.6,1.5,Industry benchmark — mid-size telecom,,Vocus website,,,,,,pending_row_level_source,2026-05-07,,,,,,5.0,False,quarantined_pending_source_url,No row-level source_url/evidence_quote/capacity_basis stored after all-batches remediation sweep; excluded from capacity totals pending verification.,operator_current_sources_do_not_support_row_level_project_or_mw,,
KINX Sydney,KINX SYD,KINX,KINX,Colocation,NSW1,NSW,Sydney,Operating,,,2020.0,,,Grid,Traditional,1.45,1.3,Industry benchmark — small colocation,,KINX website,,,,,,pending_row_level_source,2026-05-07,,,,,,8.0,False,quarantined_pending_source_url,No row-level source_url/evidence_quote/capacity_basis stored after all-batches remediation sweep; excluded from capacity totals pending verification.,operator_current_sources_do_not_support_row_level_project_or_mw,,
Canberra Data Centres,Canberra DC,Canberra Data Centres,Canberra Data Centres,Colocation,NSW1,NSW,Canberra,Operating,,,2008.0,,,Grid,Traditional,1.5,1.5,Industry benchmark — legacy colocation,,Company website,,,,,,facility_exists_no_mw_disclosed,2026-05-07,,,,,,15.0,False,quarantined_no_mw_disclosed,No row-level MW figure available; excluded from capacity totals pending source remediation.,operator_current_sources_do_not_support_row_level_project_or_mw,,
Harbour ISP,Harbour ISP DC,Harbour ISP,Harbour ISP,Telecom,VIC1,VIC,Melbourne,Operating,,,2010.0,,,Grid,Traditional,1.65,1.5,Industry benchmark — small telecom,,Company website,,,,,,facility_exists_no_mw_disclosed,2026-05-07,,,,,,4.0,False,quarantined_no_mw_disclosed,No row-level MW figure available; excluded from capacity totals pending source remediation.,operator_current_sources_do_not_support_row_level_project_or_mw,,
SUBco Melbourne,SUBco MEL,SUBco,SUBco,Telecom,VIC1,VIC,Melbourne,Operating,,,2015.0,,,Grid,Traditional,1.6,1.5,Industry benchmark — small telecom,,SUBco website,,,,,,pending_row_level_source,2026-05-07,,,,,,3.0,False,quarantined_pending_source_url,No row-level source_url/evidence_quote/capacity_basis stored after all-batches remediation sweep; excluded from capacity totals pending verification.,operator_current_sources_do_not_support_row_level_project_or_mw,,
DXN SYD1,DXN Sydney Olympic Park,DXN Limited,DXN Limited,Colocation,NSW1,NSW,Sydney Olympic Park,Operating,,,,,,Grid,Traditional,,,,,dxn.solutions,,,,,,pending_row_level_source,2026-05-07,,,,,,12.0,False,quarantined_pending_source_url,No row-level source_url/evidence_quote/capacity_basis stored after all-batches remediation sweep; excluded from capacity totals pending verification.,no_primary_row_level_source_or_current_operator_support,,
TPG Forest Lodge,TPG Forest Lodge,TPG Telecom,TPG Telecom,Telecom,NSW1,NSW,Forest Lodge,Operating,,,,,,Grid,Traditional,,,,,Data Center Dynamics — TPG data centre for sale,,,,,,pending_row_level_source,2026-05-07,,,,,,,False,quarantined_pending_source_url,No row-level source_url/evidence_quote/capacity_basis stored after all-batches remediation sweep; excluded from capacity totals pending verification.,no_primary_row_level_source_or_current_operator_support,,
TPG Richmond,TPG Richmond Melbourne,TPG Telecom,TPG Telecom,Telecom,VIC1,VIC,Richmond,Operating,,,,,,Grid,Traditional,,,,,datacentermap.com,,,,,,pending_row_level_source,2026-05-07,,,,,,,False,quarantined_pending_source_url,No row-level source_url/evidence_quote/capacity_basis stored after all-batches remediation sweep; excluded from capacity totals pending verification.,no_primary_row_level_source_or_current_operator_support,,
TPG Collins Street,TPG 530 Collins Street,TPG Telecom,TPG Telecom,Telecom,VIC1,VIC,Melbourne CBD,Operating,,,,,,Grid,Traditional,,,,,datacenterhawk.com,,,,,,pending_row_level_source,2026-05-07,,,,,,,False,quarantined_pending_source_url,No row-level source_url/evidence_quote/capacity_basis stored after all-batches remediation sweep; excluded from capacity totals pending verification.,no_primary_row_level_source_or_current_operator_support,,
Global Switch MEL,Global Switch MEL,DigiCo Infrastructure REIT,HMC Capital,Colocation,VIC1,VIC,Port Melbourne,Operating,,,2005.0,,,Grid,Traditional,1.5,1.5,Global Switch ESG — legacy facility,,Global Switch website,,,,,,pending_row_level_source,2026-05-07,,,,,,12.0,False,quarantined_pending_source_url,No row-level source_url/evidence_quote/capacity_basis stored after all-batches remediation sweep; excluded from capacity totals pending verification.,no_current_operator_or_official_project_support,2026-05-07,Global Switch current locations/source material found did not support an Australian Melbourne facility; DigiCo current location list has no Melbourne site.
Vantage SYD1,Vantage SYD1,Vantage Data Centers,DigitalBridge / Silver Lake,Colocation,NSW1,NSW,Sydney,Operating,,,,,,Grid,Cloud,,,,DigitalBridge,vantage-dc.com,,,,,,pending_row_level_source,2026-05-07,,,,,,,False,quarantined_pending_source_url,No row-level source_url/evidence_quote/capacity_basis stored after all-batches remediation sweep; excluded from capacity totals pending verification.,no_current_operator_or_official_project_support,2026-05-07,Vantage current APAC location list shows Melbourne but no Sydney campus; no row-level Sydney source located.
DigiCo SYD Gore Hill,DigiCo Gore Hill,DigiCo Infrastructure REIT,HMC Capital,Colocation,NSW1,NSW,Gore Hill,Operating,,,,,,Grid,Traditional,,,,,iseek.com.au / HMC Capital DigiCo REIT,,,,,,facility_exists_no_mw_disclosed,2026-05-07,,,,,,,False,quarantined_no_mw_disclosed,No row-level MW figure available; excluded from capacity totals pending source remediation.,stale_or_duplicate_operator_mapping_not_on_current_digico_location_list,2026-05-07,"DigiCo current official location list supports Sydney SYD1 in/near the CBD, not a separate Gore Hill row with MW."
Sliced Tech Fyshwick,Sliced Tech Fyshwick,Sliced Tech,Sliced Tech,Colocation,NSW1,NSW,Fyshwick,Operating,,,,,,Grid,Cloud,,,,,crn.com.au — Sliced Tech ASD Certified Protected,,,,,,pending_row_level_source,2026-05-07,,,,,,,False,quarantined_pending_source_url,No row-level source_url/evidence_quote/capacity_basis stored after all-batches remediation sweep; excluded from capacity totals pending verification.,service_provider_profile_not_row_level_data_centre_capacity_source,2026-05-07,Located company/profile sources only; no facility MW or data-centre row source suitable for project totals.
